String,Admin Roles,Content Roles,End User,From Mukurtu
    @count days,x,,,
    @count days ago,,,,
    @count errors have been found:,x,,,
    @count hour,x,,,
    @count hours,x,,,
    @count hours,x,,,
    @count hours ago,x,,,
    @count item,,,,
    @count item has not been deleted because you do not have the necessary permissions.,x,x,,
"    @count item, skip @skip",,,,
    @count items,,,,
    @count items have not been deleted because you do not have the necessary permissions.,x,x,,
    @count items successfully processed:,,,,
"    @count items, skip @skip",,,,
    @count media items remaining.,x,x,,
    @count min,,,,
    @count minute,,,,
    @count minutes,,,,
    @count minutes,,,,
    @count modules are available in the modified list.,,,,
    @count modules have been installed: %names.,,,,
"    @count modules have been installed: %names. Configure <a href="":link"">related permissions</a>.",,,,
    @count month,,,,
    @count months,,,,
    @count months,,,,
    @count new,,,,
    @count new,,,,
    @count pending updates,x,,,
"    @count pending updates (@number_applied to be applied, @number_incompatible skipped)",x,,,
    @count permissions in use,,,,
    @count place,,,,
    @count places,,,,
    @count removed,,,,
    @count removed,,,,
    @count renamed,,,,
    @count renamed,,,,
    @count sec,,,,
    @count second,,,,
    @count seconds,,,,
"    @count translation files could not be checked. <a href="":url"">See the log</a> for details.",x,,,
    @count translation files could not be checked. See the log for details.,x,,,
"    @count translation files could not be imported. <a href="":url"">See the log</a> for details.",x,,,
    @count translation files could not be imported. See the log for details.,x,,,
"    @count translation files imported. %number translations were added, %update translations were updated and %delete translations were removed.",x,,,
"    @count translation strings were skipped because of disallowed or malformed HTML. <a href="":url"">See the log</a> for details.",x,,,
    @count translation strings were skipped because of disallowed or malformed HTML. See the log for details.,x,,,
    @count upgrades failed,x,,,
    @count users,x,,,
    @count users deleted.,x,,,
    @count users have chosen or been assigned to this shortcut set.,,,,
    @count week,,,,
    @count weeks,,,,
    @count weeks,,,,
    @count year,,,,
    @count years,,,,
    @count years,,,,
    @count. plural form,,,,
    @selected of @count item selected,,,,
    @selected of @count items selected,,,,
    <strong>Warning:</strong> There are currently @count menu links in %title. They will be deleted (system-defined links will be reset).,,,,
    <strong>Warning:</strong> There is currently 1 menu link in %title. It will be deleted (system-defined links will be reset).,,,,
    1 @label revision.,,,,
    1 byte,,,,
    1 child,,,,
    1 comment,,,,
    1 day,,,,
    1 day ago,,,,
    1 error has been found:,,,,
    1 hour,,,,
    1 hour ago,,,,
    1 item successfully processed:,,,,
    1 min,,,,
    1 minute,,,,
    1 module is available in the modified list.,,,,
    1 month,,,,
    1 pending update,,,,
"    1 pending update (@number_applied to be applied, @number_incompatible skipped)",,,,
    1 sec,,,,
    1 upgrade failed,,,,
    1 user,,,,
    1 user deleted,,,,
    1 user has chosen or been assigned to this shortcut set.,,,,
    1 week,,,,
    1 year,,,,
    Add file,x,x,,
    Add files,x,x,,
    Added @count media items.,x,x,,
    Added one media item.,x,x,,
"    Adding modules and themes requires <strong>@backends access</strong> to your server. See <a href="":doc_url"">Extending Drupal</a> for other methods.",,,,
"    Adding modules and themes requires access to your server via one of the following methods: <strong>@backends</strong>. See <a href="":doc_url"">Extending Drupal</a> for other methods.",,,,
    All @count entities are successfully deleted.,,,,
    An unsupported Composer plugin was detected.,,,,
    And <strong>@count</strong> more @entity_type_plural.,,,,
    And <strong>@count</strong> more @entity_type_singular.,,,,
    Are you sure you want to delete these @items?,x,x,,
    Are you sure you want to delete these comments and all their children?,x,x,,
    Are you sure you want to delete these items?,x,x,,
    Are you sure you want to delete these redirects?,,,,
    Are you sure you want to delete this @item?,x,x,,
    Are you sure you want to delete this comment and all its children?,x,x,,
    Are you sure you want to delete this item?,x,x,,
    Are you sure you want to delete this redirect?,,,,
    Are you sure you wish to install a deprecated module?,,,,
    Are you sure you wish to install an experimental module?,,,,
    Are you sure you wish to install deprecated modules?,,,,
    Are you sure you wish to install experimental modules?,,,,
"    Are you sure you wish to perform ""%action"" action on %count entities?",,,,
"    Are you sure you wish to perform ""%action"" action on 1 entity?",,,,
    Cannot update because the following new or updated Drupal package does not have project information: @unknown_packages,,,,
    Cannot update because the following new or updated Drupal packages do not have project information: @unknown_packages,,,,
    Cannot update because the following project version is not in the list of installable releases.,,,,
    Cannot update because the following project versions are not in the list of installable releases.,,,,
    Checked available interface translation updates for @count projects.,,,,
    Checked available interface translation updates for one project.,,,,
    Checked available update data for @count projects.,,,,
    Checked available update data for one project.,,,,
    Completed @count upgrade tasks successfully,,,,
    Completed 1 upgrade task successfully,,,,
    Configuration %name depends on configuration (%config) that will not exist after import.,,,,
    Configuration %name depends on modules (%module) that will not be installed after import.,,,,
    Configuration %name depends on the %config configuration that will not exist after import.,,,,
    Configuration %name depends on the %module module that will not be installed after import.,,,,
    Configuration %name depends on the %theme theme that will not be installed after import.,,,,
    Configuration %name depends on themes (%theme) that will not be installed after import.,,,,
    Continuing with @migration (processed @count items),x,,,
    Continuing with @migration (processed 1 item),x,,,
    Delete all @count existing Paragraphs,,,,
    Delete existing Paragraph,,,,
    Deleted @count comment.,x,x,,
    Deleted @count comments.,x,x,,
    Deleted @count content item.,x,x,,
    Deleted @count content items.,x,x,,
    Deleted @count item.,x,x,,
    Deleted @count items.,x,x,,
    Deleted @count redirects.,,,,
    Deleted 1 redirect.,,,,
"    During cron runs, @count items will be indexed per batch.",,,,
"    During cron runs, 1 item will be indexed per batch.",,,,
    Entity is successfully deleted.,,,,
    Failed to get available update data for @count projects.,,,,
    Failed to get available update data for one project.,,,,
    First plural form,,,,
    Generated @count URL aliases.,,,,
    Generated 1 URL alias.,,,,
    Incompatible module,,,,
    Incompatible modules,,,,
    Incompatible theme,,,,
    Incompatible themes,,,,
    Installed theme,x,,,
    Installed themes,x,,,
"    Line @line-number does not contain a valid value. Enter a valid CSS selector containing one or more classes, followed by a pipe symbol and a label.",,,,
    Line @line-number does not contain a valid value. Enter a valid language key followed by a pipe symbol and a label.,,,,
"    Lines @line-numbers do not contain a valid value. Enter a valid CSS selector containing one or more classes, followed by a pipe symbol and a label.",,,,
    Lines @line-numbers do not contain a valid value. Enter a valid language key followed by a pipe symbol and a label.,,,,
    Maximum @count files.,,,,
"    Mini pager, @count item",,,,
"    Mini pager, @count item, skip @skip",,,,
"    Mini pager, @count items",,,,
"    Mini pager, @count items, skip @skip",,,,
    Missing or invalid module,,,,
    Missing or invalid modules,,,,
    Missing or invalid theme,,,,
    Missing or invalid themes,,,,
    Missing translations for @count projects,,,,
    Missing translations for one project,,,,
    Module %name has been installed.,,,,
"    Module %name has been installed. Configure <a href="":link"">related permissions</a>.",,,,
    Module will be upgraded,,,,
    Module will not be upgraded,,,,
    Modules will be upgraded,,,,
    Modules will not be upgraded,,,,
    Move content from %from state to %to state.,,,,
    Move content from %from states to %to state.,,,,
    Multiple values: @cardinality,,,,
    One file only.,x,x,x,
    One media item remaining.,x,x,,
    One permission in use,x,,,
"    One translation file could not be checked. <a href="":url"">See the log</a> for details.",x,,,
"    One translation file could not be imported. <a href="":url"">See the log</a> for details.",x,,,
    One translation file could not be imported. See the log for details.,x,,,
"    One translation file imported. %number translations were added, %update translations were updated and %delete translations were removed.",x,,,
    One translation files could not be checked. See the log for details.,x,,,
"    One translation string was skipped because of disallowed or malformed HTML. <a href="":url"">See the log</a> for details.",x,,,
    One translation string was skipped because of disallowed or malformed HTML. See the log for details.,x,,,
    Only @count items can be selected.,,,,
    Only one item can be selected.,,,,
    Publish @count item to @target,x,x,,
    Publish @count items to @target,x,x,,
    Removed core module,,,,
    Removed core modules,,,,
    Removed core theme,,,,
    Removed core themes,,,,
    Request response code is not one of the following: @codes,,,,
    Request response code is not: @codes,,,,
    Request response code is one of the following: @codes,,,,
    Request response code is: @codes,,,,
    Required by the theme: @theme_names,,,,
    Required by the themes: @theme_names,,,,
    Selected @count items,,,,
    Selected 1 item,,,,
    Single value,,,,
    Successfully indexed @count items.,,,,
    Successfully indexed 1 item.,,,,
    Supported image file format: %formats.,,,,
    Supported image file formats: %formats.,,,,
    The %field_type_label field type is used in the following field: @fields,,,,
    The %field_type_label field type is used in the following fields: @fields,,,,
    The %media-embed-filter-label filter needs to be placed after the %filter filter.,,,,
    The %media-embed-filter-label filter needs to be placed after the following filters: %filters.,,,,
    The @label workspace can not be published because it contains @count items in an unpublished moderation state.,,,,
    The @label workspace can not be published because it contains 1 item in an unpublished moderation state.,,,,
"    The @tag tag was added because it is <a target=""_blank"" href="":fundamental_tag_link"">required by CKEditor 5</a>.",,,,
    The @tag tag was added because it is required by CKEditor 5.,,,,
"    The @tag tags were added because they are <a target=""_blank"" href="":fundamental_tag_link"">required by CKEditor 5</a>.",,,,
    The @tag tags were added because they are required by CKEditor 5.,,,,
    The following module is experimental: @modules.,,,,
"    The following module is installed, but it is incompatible with Drupal @version:",,,,
"    The following module is installed, but it is incompatible with PHP @version:",,,,
"    The following module is marked as installed in the core.extension configuration, but it is missing:",,,,
    The following modules are experimental: @modules.,,,,
"    The following modules are installed, but they are incompatible with Drupal @version:",,,,
"    The following modules are installed, but they are incompatible with PHP @version:",,,,
"    The following modules are marked as installed in the core.extension configuration, but they are missing:",,,,
    The following reason prevents @module.module_name from being uninstalled:,,,,
    The following reasons prevent @module.module_name from being uninstalled:,,,,
"    The following theme is installed, but it is incompatible with Drupal @version:",,,,
"    The following theme is installed, but it is incompatible with PHP @version:",,,,
"    The following theme is marked as installed in the core.extension configuration, but it is missing:",,,,
"    The following themes are installed, but they are incompatible with Drupal @version:",,,,
"    The following themes are installed, but they are incompatible with PHP @version:",,,,
"    The following themes are marked as installed in the core.extension configuration, but they are missing:",,,,
    The installed version of the %module module is too old to update. Update first to a version prior to all of the following: @versions (missing updates: @missing_updates).,,,,
    The installed version of the %module module is too old to update. Update to a version prior to @versions first (missing updates: @missing_updates).,,,,
    The media item has been created but has not yet been saved. Fill in any required fields and save to add it to the media library.,x,x,,
    The media items have been created but have not yet been saved. Fill in any required fields and save to add them to the media library.,x,x,,
    The tag %tags;,,,,
    The tags %tags;,,,,
    The update cannot proceed because the following enabled Drupal extension was removed during the update.,,,,
    The update cannot proceed because the following enabled Drupal extensions were removed during the update.,,,,
"    There are @count entities with @delta or more values in this field, so the allowed number of values cannot be set to @allowed.",,,,
"    There are @count items indexed on the server for this index. (<a href="":url"">More information</a>)",x,,,
    There are @count items left to index.,x,,,
    There are @count items that can be merged from %source_label to %target_label,x,,,
    There are @count items that can be published from %source_label to %target_label,x,,,
    There are currently @count tasks pending for this server.,,,,
    There are currently @total items selected. The maximum number of items for the field is @max. Remove @count item from the selection.,,,,
    There are currently @total items selected. The maximum number of items for the field is @max. Remove @count items from the selection.,,,,
"    There has been more than one failed login attempt for this account. It is temporarily blocked. Try again later or <a href="":url"">request a new password</a>.",x,x,x,
"    There have been more than @count failed login attempts for this account. It is temporarily blocked. Try again later or <a href="":url"">request a new password</a>.",x,x,x,
"    There is @count entity with @delta or more values in this field, so the allowed number of values cannot be set to @allowed.",,,,
    There is @count item that can be merged from %source_label to %target_label,,,,
    There is @count item that can be published from %source_label to %target_label,,,,
"    There is 1 item indexed on the server for this index. (<a href="":url"">More information</a>)",,,,
    There is 1 item left to index.,,,,
    There is currently @count task pending for this server.,,,,
    These attributes: %attributes;,,,,
    These modules are installed on your site but are no longer provided by Core.,,,,
    These themes are installed on your site but are no longer provided by Core.,,,,
    This attribute: %attributes;,,,,
    This module is installed on your site but is no longer provided by Core.,,,,
    This synchronization will delete data from the field %fields.,,,,
    This synchronization will delete data from the fields: %fields.,,,,
    This theme is installed on your site but is no longer provided by Core.,,,,
    This will also remove @count placed block instances. This action cannot be undone.,,,,
    This will also remove 1 placed block instance. This action cannot be undone.,,,,
    This will delete <strong>@count</strong> @entity_type_plural.,x,x,,
    This will delete <strong>@count</strong> @entity_type_singular.,x,x,,
"    Unable to install @extension, %config_names already exist in active configuration.",,,,
"    Unable to install @extension, %config_names already exists in active configuration.",,,,
    Unable to install the %module module since it requires the %required_module module.,,,,
    Unable to install the %module module since it requires the %required_module modules.,,,,
    Uninstalled theme,,,,
    Uninstalled themes,,,,
    Unsupported Composer plugins were detected.,,,,
    Unsupported image file format: %formats.,x,,,
    Unsupported image file formats: %formats.,x,,,
    Updated @count %label URL aliases.,,,,
    Updated @count servers.,,,,
    Updated 1 %label URL alias.,,,,
    Updated 1 server.,,,,
"    Updating modules and themes requires <strong>@backends access</strong> to your server. See <a href="":doc_url"">Extending Drupal</a> for other update methods.",,,,
"    Updating modules and themes requires access to your server via one of the following methods: <strong>@backends</strong>. See <a href="":doc_url"">Extending Drupal</a> for other update methods.",,,,
    Upgraded @migration (processed @count items total),,,,
    Upgraded @migration (processed 1 item total),,,,
    You must add the following contributed module and reload this page.,,,,
    You must add the following contributed modules and reload this page.,,,,
    You must add the following contributed theme and reload this page.,,,,
    You must add the following contributed themes and reload this page.,,,,
"    You must include at least one keyword to match in the content, and punctuation is ignored.",,,,
"    You must include at least one keyword to match in the content. Keywords must be at least @count characters, and punctuation is ignored.",,,,
    You must install the @required module to install @module.,,,,
    You must install the @required modules to install @module.,,,,
    You must install the @required theme to install @theme.,,,,
    You must install the @required themes to install @theme.,,,,
- @name -,,,,
-- [site:name] team,,,,
-- [site:name] team,,,,
-- [site:name] team,,,,
-- [site:name] team,,,,
-- [site:name] team,,,,
-- [site:name] team,,,,
-- [site:name] team,,,,
-- [site:name] team,,,,
- All -,x,x,,
- All languages -,x,x,,
- Any -,x,x,,
- Basic validation -,,,,
- Choose page type -,,,,
- Create -,x,x,,
- Default site/user time zone -,x,,,
- Default site/user timezone -,x,,,
- Description not available -,,,,
- empty image -,,,,
- No preference -,,,,
- No replacement -,,,,
- No server -,,,,
- No tooltip -,,,,
- No value -,,,,
- None -,x,x,,
- None (original image) -,x,,,
- None selected -,x,,,
- Not specified -,,,,
- Restricted access -,,,,
- Select -,x,x,,
- Select a field group type -,,,,
- Select a value -,x,,,
- Select a view -,,,,
-- Select action --,,,,
- Skip field -,,,,
- Use default -,,,,
- User defined -,,,,
!=,,,,
!has,,,,
!important declaration : @important_declaration,,,,
#123ABC,,,,
#123abc,,,,
#HEXHEX,,,,
%,,,,
% may not be used for the first segment of a path.,,,,
%archive_file does not contain any .info.yml files.,,,,
%capital_name contains terms grouped under parent terms,,,,
%capital_name contains terms grouped under parent terms. You can reorganize the terms in %capital_name using their drag-and-drop handles.,,,,
%capital_name contains terms with multiple parents.,,,,
"%capital_name contains terms with multiple parents. Drag and drop of terms with multiple parents is not supported, but you can re-enable drag-and-drop support by editing each term to include only a single parent.",,,,
%capital_name contains the following terms.,,,,
%collection_label can only be created in the default workspace.,,,,
%current_display: The link in the %area area has no configured display.,,,,
%current_display: The link in the %area area points to the %linked_display display which does not have a path.,,,,
%current_display: The link in the %area area points to the %linked_display display which no longer exists.,,,,
"%current_display: The link in the %area area points to the %linked_display display which uses different settings than the %current_display display for: %unequal_options. To make sure users see the exact same result when clicking the link, check that the settings are the same.",,,,
%display: %filter can only be used on displays that use fields. Set the style or row format for that display to one using fields to use the combine field filter.,,,,
%emails are not valid email addresses.,x,x,,
%entity_label: Administer display,,,,
%entity_label: Administer fields,,,,
%entity_label: Administer form display,,,,
%entity_type - %bundle: Configure all layout overrides,,,,
%entity_type - %bundle: Configure layout overrides for @entity_type_plural that the user can edit,,,,
%entity_type: Configure all layout overrides,,,,
%entity_type: Configure layout overrides for @entity_type_plural that the user can edit,,,,
%field cannot contain any markup.,,,,
"%field must be a valid language tag as <a href="":url"">defined by the W3C</a>.",,,,
%field settings for %bundle,,,,
%field_name field is used to store the essential information about the media item.,,,,
%field_type field will be automatically created on this type to store the essential information about the media item.,,,,
%label is now the active workspace.,,,,
%label is used by the %field field on your site. You can not remove this comment type until you have removed the field.,,,,
%language (%langcode) domain,,,,
%language (%langcode) path prefix,,,,
%language (%langcode) path prefix (Default language),,,,
%module module installed.,,,,
%module module uninstalled.,,,,
%name field is not in the right format.,,,,
%name is not a valid number.,,,,
%name is using the following invalid tokens: @invalid-tokens.,,,,
%name must be a number.,,,,
%name must be a valid color.,,,,
%name must be higher than or equal to %min.,,,,
%name must be lower than or equal to %max.,,,,
%name: may not be longer than @max characters.,,,,
%name: the email address can not be longer than @max characters.,,,,
%name: The integer must be larger or equal to %min.,,,,
%name: the opacity may be no greater than %max.,,,,
%name: the opacity may be no less than %min.,,,,
%name: the telephone number may not be longer than @max characters.,,,,
%name: the text may not be longer than @max characters.,,,,
%name: the value may be no greater than %max.,,,,
%name: the value may be no less than %min.,,,,
%name: this field cannot hold more than @count values.,,,,
%num_indexed of %num_total indexed,,,,
%percentage of the site has been indexed.,,,,
%recipe applied successfully,,,,
%recipient is an invalid email address.,x,x,,
%sender-name (@sender-from) sent %recipient-name an email.,,,,
%sender-name (@sender-from) sent an email regarding %contact_form.,,,,
%theme is now the default theme.,,,,
%theme is the default theme and cannot be uninstalled.,,,,
%theme theme installed.,,,,
%time ago,,,,
%time hence,,,,
%title has been reverted to the revision from %revision-date.,,,,
%transition transition deleted.,,,,
%type: @message in %function (line %line of %file) @backtrace_string.,,,,
%type: @message in %function (line %line of %file).,,,,
%type_name: Create content,x,x,,
%type_name: Create new content,x,x,,
%type_name: Create new content block,,,,
%type_name: Create new media,x,x,,
%type_name: Delete any content,x,x,,
%type_name: Delete any media,x,x,,
%type_name: Delete content,x,x,,
%type_name: Delete content block,,,,
%type_name: Delete content block revisions,,,,
%type_name: Delete own content,x,x,,
%type_name: Delete own media,x,x,,
%type_name: Delete revisions,x,x,,
%type_name: Edit any content,x,x,,
%type_name: Edit any media,x,x,,
%type_name: Edit content,x,x,,
%type_name: Edit content block,,,,
%type_name: Edit own content,x,x,,
%type_name: Edit own media,x,x,,
%type_name: Revert content block revisions,,,,
%type_name: Revert revisions,,,,
%type_name: View any media revision pages,,,,
%type_name: View content,x,x,,
%type_name: View content block history pages,,,,
%type_name: View revisions,x,x,,
%user is now using a new shortcut set called %set_name. You can edit it from this page.,,,,
%user is now using the %set_name shortcut set.,,,,
%vocabulary: Create terms,x,x,,
%vocabulary: Delete term revisions,x,x,,
%vocabulary: Delete terms,x,x,,
%vocabulary: Edit terms,x,x,,
%vocabulary: Revert term revisions,,,,
%vocabulary: View term revisions,x,x,,
%workflow workflow: Use %transition transition.,,,,
%workspace_label is now the active workspace.,,,,
&lt;Any&gt;,,,,
"(* unsupported) Paragraphs fields do not support translation. See the <a href="":documentation"">online documentation</a>.",x,,,
"(<a href="":system-help"">What are critical security announcements?</a>)",,,,
(all translations),,,,
(Empty),,,,
(first item is 0),,,,
(formerly Global Redirect features),,,,
(link is a phone number),,,,
(link is external),,,,
(link sends email),,,,
(No description available),,,,
(No subject),,,,
(start from last values),,,,
"(Sticky header effects will not be active for preview below, only on live output.)",,,,
(this translation),,,,
(upscaling allowed),,,,
(version @version available),,,,
* (any version),,,,
",",,,,
:,,,,
@bundle @label were skipped as they are under moderation and may not be directly published.,,,,
@bundle @label were skipped as they are under moderation and may not be directly unpublished.,,,,
@bundle_type is @bundles or @last,,,,
@bundle_type is not @bundle,,,,
@bundle_type is not @bundles or @last,,,,
@code (@title),,,,
@count (default setting),,,,
@count disallowed HTML string(s) in files: @files.,,,,
@count items added to @container,x,x,,
@count minutes,,,,
@count seconds,,,,
@date by @username,x,x,,
@date: @label by @author,,,,
@display '@id': Component '@name' was disabled because its settings depend on removed dependencies.,,,,
"@drupal requires read permissions to %file at all times. The <a href="":handbook_url"">webhosting issues</a> documentation section offers help on this and other topics.",,,,
"@entity_type_plural_label do not support publishing statuses. For example, even after transitioning from a published workflow state to an unpublished workflow state they will still be visible to site visitors.",,,,
@field_label (* unsupported),,,,
@index was not found,,,,
@key' is a required key because @dynamic_type_property_path is @dynamic_type_property_value (see config schema type @resolved_dynamic_type).,,,,
@key' is a required key.,,,,
@key' is an unknown key because @dynamic_type_property_path is @dynamic_type_property_value (see config schema type @resolved_dynamic_type).,,,,
@key' is not a supported key.,,,,
@label (@name:delta),,,,
@label (Original translation) - <em>The following @entity_type translations will be deleted:</em>,,,,
@label (Translation is not supported).,x,,,
"@label <span class=""visually-hidden"">(@source_language)</span>",,,,
@label:delta,,,,
@label@column (@argument),,,,
@language translation of %label was deleted,,,,
@language translation of the @type %label has been deleted.,,,,
"@language translation was not added. To add a translation, you must modify the configuration.",x,,,
@language_name revisions for %title,,,,
@message (@percent%).,,,,
"@message See <a href="":package-manager-help"">the help page</a> for information on how to resolve the problem.",,,,
"@message See <a href="":url"">the Composer documentation</a> for more information.",,,,
"@message See <a href="":url"">the help page</a> for information on how to resolve the problem.",,,,
"@message See <a href="":url"">the help page</a> for more information on how to configure Composer to download packages securely.",,,,
"@message See <a href="":url"">the help page</a> for more information on how to configure the plugin.",,,,
"@message See <a href="":url"">the help page</a> for more information on how to install the plugin.",,,,
"@message See <a href="":url"">the help page</a> for more information on how to set up this repository.",,,,
"@message See the <a href="":url"">Package Manager help</a> for more information on how to resolve this.",,,,
@min and @max,,,,
"@module (<span class=""admin-disabled"">disabled</span>)",,,,
"@module_name (<span class=""admin-disabled"">disabled</span>)",,,,
"@module_name (<span class=""admin-missing"">incompatible with</span> this version of Drupal core)",,,,
"@module_name (<span class=""admin-missing"">incompatible with</span> version @version)",,,,
"@module_name (<span class=""admin-missing"">missing</span>)",,,,
@name (not verified),,,,
@name' @type (provided by <code>@package</code>),,,,
@name cannot be longer than %max characters but is currently %length characters long.,,,,
@name requires this module and version. Currently using @required_name version @version,,,,
@name's value,,,,
@path is not a valid path.,,,,
@percent% (@remaining remaining),,,,
"@phpversion (<a href="":url"">more information</a>)",,,,
@sender-name (@sender-url) has sent you a message via your contact form at @site-name.,,,,
@sender-name (@sender-url) sent a message using the contact form at @form-url.,,,,
"@theme (theme) (<span class=""admin-disabled"">disabled</span>)",,,,
@time ago,,,,
@time ms,,,,
@title (value @number),,,,
@title [%language translation],,,,
@title field is required if there is @uri input.,,,,
@title' form element,,,,
@title type,,,,
@translated/@total (@ratio%),,,,
@type %info has been created.,x,x,,
@type %info has been updated.,x,x,,
@type %label has been created.,x,x,,
@type %label has been updated.,x,x,,
@type %title has been created.,x,x,,
@type %title has been reverted to the revision from %revision-date.,x,x,,
@type %title has been reverted.,x,x,,
@type %title has been updated.,x,x,,
@type (module: @module),,,,
@type field.,,,,
@type field. Also known as %labels.,,,,
@type language detection,,,,
@type language selected for page,,,,
@type type with delta @delta,,,,
@type URL,,,,
@type: added %info.,,,,
@type: added %label.,,,,
@type: added %title.,,,,
@type: deleted %title revision %revision.,,,,
@type: deleted %title.,,,,
@type: reverted %title revision %revision.,,,,
@type: updated %info.,,,,
@type: updated %label.,,,,
@type: updated %title.,,,,
@version (<code>@path</code>),,,,
[@form] @subject,,,,
[@site-name] @subject,,,,
[@time ms] @query,,,,
[site:login-url]: The URL where users can log in to your site.,x,,,
[site:name]: The name of your website.,x,,,
[site:url]: The URL of your website.,x,,,
[user:account-name]: The user's account name.,x,x,,
[user:cancel-url],,,,
[user:display-name],,,,
[user:display-name] has applied for an account.,x,x,,
"[user:display-name],",,,,
"[user:display-name],",,,,
"[user:display-name],",,,,
"[user:display-name],",,,,
"[user:display-name],",,,,
"[user:display-name],",,,,
"[user:display-name],",,,,
[user:display-name]: The user's displayed name.,x,x,,
[user:edit-url],,,,
[user:mail]: The user's email alias.,,,,
[user:one-time-login-url],,,,
[user:one-time-login-url],,,,
[user:one-time-login-url],,,,
[user:one-time-login-url],,,,
"[user:one-time-login-url]: An expiring URL that a user can use to log in once, if they need to reset their password.",x,x,,
"{""color"":""#3388ff"",""opacity"":""1.0"",""stroke"":true,""weight"":3,""fill"":""depends"",""fillColor"":""*"",""fillOpacity"":""0.2"",""radius"":""6""}",,,,
"{""maxWidth"":""300"",""minWidth"":""50"",""autoPan"":true}",,,,
"{""maxWidth"":""400"",""minWidth"":""300"",""autoPan"":true}",,,,
"{""padding"":[0,0]}",,,,
"{""permanent"":false,""direction"":""center""}",,,,
"{""position"":""bottomright"",""maxWidth"":100,""metric"":true,""imperial"":false,""updateWhenIdle"":false}",,,,
"{""position"":""topleft"",""pseudoFullscreen"":false}",,,,
"{""position"":""topleft"",""title"":""Reset View""}",,,,
"{""position"":""topright"",""setView"":""untilPanOrZoom"",""returnToPrevBounds"":true,""keepCurrentZoomLevel"":true,""strings"":{""title"":""Locate my position""}}",,,,
"{""spiderfyOnMaxZoom"":true,""showCoverageOnHover"":true,""removeOutsideVisibleBounds"": false}",,,,
"{""spiderfyOnMaxZoom"":true,""showCoverageOnHover"":true,""removeOutsideVisibleBounds"":false}",,,,
{% else %},,,,
"{% elseif severity == ""2"" %}",,,,
"{% elseif severity == ""3"" %}",,,,
"{% elseif severity == ""4"" %}",,,,
"{% elseif severity == ""5"" %}",,,,
"{% elseif severity == ""6"" %}",,,,
"{% elseif severity == ""7"" %}",,,,
"{% elseif severity== ""1"" %}",,,,
{% endif %},,,,
"{% if severity == ""0"" %}",,,,
{{ arguments.created_year_month }},,,,
{{ arguments.tid }},,,,
{{ message }},,,,
{{ view_node }},,,,
‹ previous,,,,
‹ Previous,,,,
‹‹,,,,
››,,,,
<,,,,
</ul>,,,,
</ul>,,,,
</ul>,,,,
</ul>,,,,
<=,,,,
<>,,,,
"<a href=""/admin/export"">{{ 'Return to Export'|t }}</a>",,,,
"<a href=""/admin/export/content"">{{ 'View the full content export list'|t }}</a>",,,,
"<a href=""/admin/export/content"">View Content Export List</a>",x,x,,
"<a href=""/admin/export/media"">{{ 'View the full media export list'|t }}</a>",x,x,,
